Year,Month,Deaths
2010,1/1/2010,2984
2010,2/1/2010,2716
2010,3/1/2010,3183
2010,4/1/2010,3144
2010,5/1/2010,3324
2010,6/1/2010,3208
2010,7/1/2010,3365
2010,8/1/2010,3352
2010,9/1/2010,3079
2010,10/1/2010,3122
2010,11/1/2010,2904
2010,12/1/2010,2966
